--faucet-sol argument ignored, ledger already exists
Ledger location: test-ledger
Log: test-ledger/validator.log
Initializing...
Waiting for fees to stabilize 1...
Connecting...
Identity: 4jv5GcfX2mcGU6ssJMTbwLKRymK9DymU1SkLRwSMidws
Genesis Hash: FUaMoAK7JpTcZNuZixY4rxEAS2PVTietZHNgH6ERLx5d
Version: 2.1.0
Shred Version: 23998
Gossip Address: 127.0.0.1:1024
TPU Address: 127.0.0.1:1027
JSON RPC URL: http://127.0.0.1:8899
WebSocket PubSub URL: ws://127.0.0.1:8900
00:00:02 | Processed Slot: 84 | Confirmed Slot: 84 | Finalized Slot: 52 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 81 | ◎499.999595000
00:00:02 | Processed Slot: 84 | Confirmed Slot: 84 | Finalized Slot: 52 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 81 | ◎499.999595000
00:00:03 | Processed Slot: 85 | Confirmed Slot: 85 | Finalized Slot: 53 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 82 | ◎499.999590000
00:00:03 | Processed Slot: 85 | Confirmed Slot: 85 | Finalized Slot: 53 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 82 | ◎499.999590000
00:00:03 | Processed Slot: 86 | Confirmed Slot: 86 | Finalized Slot: 54 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 83 | ◎499.999585000
00:00:03 | Processed Slot: 86 | Confirmed Slot: 86 | Finalized Slot: 54 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 83 | ◎499.999585000
00:00:04 | Processed Slot: 87 | Confirmed Slot: 87 | Finalized Slot: 55 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 84 | ◎499.999580000
00:00:04 | Processed Slot: 88 | Confirmed Slot: 88 | Finalized Slot: 56 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 85 | ◎499.999575000
00:00:04 | Processed Slot: 88 | Confirmed Slot: 88 | Finalized Slot: 56 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 85 | ◎499.999575000
00:00:04 | Processed Slot: 89 | Confirmed Slot: 89 | Finalized Slot: 57 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 86 | ◎499.999570000
00:00:05 | Processed Slot: 89 | Confirmed Slot: 89 | Finalized Slot: 57 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 86 | ◎499.999570000
